,Season,CDC.Week,Week.Ending.Date,Count
77163,2022-2023,40,10/8/22,7
65112,2022-2023,41,10/15/22,5
76398,2022-2023,42,10/22/22,5
78323,2022-2023,43,10/29/22,5
69314,2022-2023,44,11/5/22,7
60459,2022-2023,45,11/12/22,8
64599,2022-2023,46,11/19/22,12
71039,2022-2023,47,11/26/22,9
80689,2022-2023,48,12/3/22,5
67322,2022-2023,49,12/10/22,17
59944,2022-2023,50,12/17/22,17
63959,2022-2023,51,12/24/22,7
60766,2022-2023,52,12/31/22,5
80167,2022-2023,1,1/7/23,28
70347,2022-2023,2,1/14/23,28
65870,2022-2023,3,1/21/23,20
72657,2022-2023,4,1/28/23,30
82290,2022-2023,5,2/4/23,38
68765,2022-2023,6,2/11/23,46
58280,2022-2023,7,2/18/23,45
74925,2022-2023,8,2/25/23,51
,,,,
,,,,
,,,,
,,,,